iteration,total,hold_success,dropped,time_out,r_face_alignment,r_hold_bonus,r_dropped_penalty,mean_reward,mean_ep_len,iter_time_s,steps_per_s,invalid_state,r_hold_progress,r_grasp_contact,r_excess_force,r_joint_limits,value_loss,surrogate_loss,action_std
50,5000,0.7196,0.2488,0.0316,0.2018,0.7592,-0.0508,5.92,60.01,0.77,127129.0,0.0,0.1866,0.02,-0.0001,-0.0181,2.9348,-0.0064,0.99
51,5000,0.7247,0.2444,0.0308,0.2043,0.762,-0.0498,5.1,61.52,0.78,126552.0,0.0,0.188,0.0203,-0.0001,-0.0186,2.4536,-0.0045,0.99
52,5000,0.7206,0.248,0.0314,0.2067,0.7712,-0.0482,5.99,55.53,0.78,125837.0,0.0,0.1901,0.0203,-0.0,-0.0189,2.8017,-0.0069,0.99
53,5000,0.7273,0.2429,0.0298,0.2046,0.7721,-0.0488,5.27,60.15,0.76,129390.0,0.0,0.1895,0.02,-0.0,-0.0175,3.0897,-0.0066,0.99
54,5000,0.7288,0.242,0.0292,0.2046,0.7685,-0.049,7.31,64.69,0.75,131363.0,0.0,0.1894,0.02,-0.0,-0.0174,2.6931,-0.0073,0.99
55,5000,0.7362,0.2357,0.0281,0.2113,0.7856,-0.0441,6.34,70.28,0.77,126907.0,0.0,0.1943,0.0212,-0.0001,-0.0181,2.6514,-0.0063,0.99
56,5000,0.7373,0.2323,0.0304,0.2089,0.7788,-0.0465,5.99,58.45,0.8,122808.0,0.0,0.1923,0.0208,-0.0,-0.0173,2.7183,-0.0072,0.99
57,5000,0.7381,0.2285,0.0335,0.206,0.7552,-0.0509,5.72,61.19,0.79,124317.0,0.0,0.1877,0.0207,-0.0,-0.0171,2.3967,-0.0085,0.99
58,5000,0.7381,0.2316,0.0303,0.2133,0.7821,-0.0478,6.25,59.23,0.79,123694.0,0.0,0.1948,0.0203,-0.0001,-0.0168,2.7412,-0.008,0.99
59,5000,0.7396,0.2341,0.0263,0.2134,0.7796,-0.0478,4.61,55.38,0.79,123867.0,0.0,0.1945,0.0205,-0.0001,-0.0172,2.6795,-0.0075,0.99
