iteration,total,hold_success,dropped,time_out,r_face_alignment,r_hold_bonus,r_dropped_penalty,mean_reward,mean_ep_len,iter_time_s,steps_per_s,invalid_state,r_hold_progress,r_grasp_contact,r_excess_force,r_joint_limits,value_loss,surrogate_loss,action_std
753,4699,0.4181,0.2785,0.3036,0.125,0.2979,-0.0373,2.7,172.18,1.8,54653.0,0.0,0.0806,0.0501,-0.0002,-0.0677,0.3772,-0.0072,1.03
754,4699,0.4159,0.2807,0.3036,0.1232,0.262,-0.0353,2.64,181.41,1.79,55069.0,0.0,0.0723,0.057,-0.0002,-0.075,0.394,-0.0089,1.03
755,4699,0.4145,0.2773,0.3083,0.1227,0.2861,-0.0372,3.52,145.11,1.78,55321.0,0.0,0.0775,0.0508,-0.0002,-0.0713,0.409,-0.0091,1.03
756,4699,0.4109,0.277,0.3121,0.1227,0.2814,-0.0401,3.59,148.22,1.78,55260.0,0.0,0.0747,0.0492,-0.0001,-0.0701,0.418,-0.0089,1.02
757,4699,0.4038,0.281,0.3152,0.1246,0.3015,-0.0358,5.0,159.85,1.79,54873.0,0.0,0.0808,0.0495,-0.0001,-0.0708,0.357,-0.0055,1.02
758,4699,0.4067,0.2746,0.3189,0.121,0.2853,-0.0336,2.65,185.68,1.8,54506.0,0.0,0.0757,0.0531,-0.0002,-0.0761,0.3821,-0.0059,1.02
759,4699,0.4121,0.2705,0.3177,0.1217,0.2936,-0.0382,2.44,173.57,1.78,55115.0,0.0,0.078,0.0488,-0.0001,-0.0688,0.4268,-0.0089,1.02
760,4699,0.4104,0.2715,0.3184,0.1182,0.2588,-0.0367,2.66,171.81,1.79,54913.0,0.0,0.0712,0.0544,-0.0002,-0.0754,0.4375,-0.0088,1.02
761,4699,0.4094,0.2698,0.321,0.1338,0.3017,-0.0339,2.85,173.36,1.79,54886.0,0.0,0.0828,0.0513,-0.0002,-0.074,0.3402,-0.0099,1.01
762,4699,0.4077,0.2656,0.3268,0.1281,0.2844,-0.0329,2.03,171.36,1.8,54706.0,0.0,0.0785,0.054,-0.0002,-0.0794,0.3964,-0.0099,1.01
763,4699,0.406,0.2625,0.3315,0.1257,0.272,-0.0347,3.6,172.15,1.79,54964.0,0.0,0.0737,0.0526,-0.0002,-0.0769,0.3758,-0.0066,1.01
764,4699,0.4023,0.262,0.3357,0.1229,0.2804,-0.033,1.84,184.65,1.78,55313.0,0.0,0.0775,0.0537,-0.0002,-0.0771,0.3709,-0.01,1.01
765,4699,0.4073,0.2573,0.3354,0.1357,0.3019,-0.0353,2.09,177.25,1.8,54625.0,0.0,0.0824,0.05,-0.0002,-0.0696,0.4664,-0.0098,1.01
766,4699,0.4067,0.259,0.3343,0.1398,0.3065,-0.0331,3.3,190.89,1.78,55079.0,0.0,0.0864,0.0499,-0.0001,-0.0759,0.3348,-0.0089,1.01
767,4699,0.4091,0.2541,0.3368,0.1186,0.2946,-0.0333,2.37,159.43,1.78,55092.0,0.0,0.0784,0.0501,-0.0002,-0.0722,0.413,-0.0097,1.01
768,4699,0.4074,0.2563,0.3362,0.1257,0.2881,-0.0331,2.96,191.9,1.7,57921.0,0.0,0.0766,0.0519,-0.0001,-0.0753,0.352,-0.0071,1.01
769,4699,0.4066,0.2526,0.3407,0.1256,0.2782,-0.0328,2.44,182.41,1.8,54736.0,0.0,0.0748,0.0545,-0.0002,-0.0743,0.328,-0.0065,1.01
770,4699,0.4054,0.2497,0.3449,0.128,0.2964,-0.0313,3.66,168.34,1.79,54997.0,0.0,0.0812,0.0501,-0.0001,-0.0745,0.3443,-0.0096,1.0
771,4699,0.4038,0.248,0.3482,0.1316,0.2846,-0.0317,2.43,189.75,1.78,55082.0,0.0,0.0764,0.0547,-0.0002,-0.0788,0.3373,-0.0076,1.0
