iteration,total,hold_success,dropped,time_out,r_face_alignment,r_hold_bonus,r_dropped_penalty,mean_reward,mean_ep_len,iter_time_s,steps_per_s,invalid_state,r_hold_progress,r_grasp_contact,r_excess_force,r_joint_limits,value_loss,surrogate_loss,action_std
4763,6199,0.6434,0.0972,0.2604,0.4874,0.4742,-0.0115,12.65,206.99,0.78,126702.0,0.0,0.2226,0.0913,-0.0048,-0.0662,0.5093,-0.0129,1.04
4764,6199,0.648,0.0966,0.256,0.477,0.4657,-0.0138,11.58,192.42,0.78,125585.0,0.0,0.2095,0.0912,-0.0043,-0.0657,0.4725,-0.0128,1.04
4765,6199,0.6495,0.0982,0.2528,0.4491,0.4865,-0.0147,11.05,177.46,0.78,126051.0,0.0,0.2112,0.0811,-0.0045,-0.0644,0.5664,-0.0129,1.04
4766,6199,0.6567,0.0967,0.2471,0.4822,0.4506,-0.0148,10.84,184.56,0.78,126233.0,0.0,0.2129,0.0917,-0.0054,-0.0645,0.5656,-0.012,1.04
4767,6199,0.6578,0.0948,0.2479,0.4494,0.4925,-0.0135,11.52,168.12,0.78,126752.0,0.0,0.2181,0.0824,-0.0043,-0.0644,0.5053,-0.011,1.04
4768,6199,0.6592,0.0946,0.2469,0.4649,0.4918,-0.0107,11.35,185.56,0.78,125442.0,0.0,0.2192,0.0869,-0.0052,-0.062,0.5713,-0.012,1.04
4769,6199,0.6669,0.0916,0.2422,0.4893,0.4865,-0.0087,11.76,192.33,0.78,126544.0,0.0,0.2277,0.0953,-0.0049,-0.063,0.6471,-0.0139,1.04
4770,6199,0.6703,0.0907,0.2395,0.4506,0.4803,-0.0147,11.49,145.42,0.77,127004.0,0.0,0.2136,0.0843,-0.0041,-0.0568,0.5193,-0.0134,1.04
4771,6199,0.6717,0.0925,0.2363,0.4788,0.4722,-0.0132,11.94,191.64,0.78,126673.0,0.0,0.2264,0.0924,-0.0052,-0.0594,0.5349,-0.0135,1.04
4772,6199,0.6718,0.0944,0.2343,0.4596,0.4766,-0.0127,11.91,176.1,0.78,126150.0,0.0,0.2174,0.0855,-0.0045,-0.06,0.5416,-0.013,1.04
4773,6199,0.6774,0.0903,0.2329,0.4589,0.5092,-0.0089,12.64,195.83,0.78,126249.0,0.0,0.2211,0.0847,-0.0052,-0.0601,0.6009,-0.0134,1.04
4774,6199,0.683,0.0924,0.2253,0.4408,0.4864,-0.0162,11.99,178.07,0.79,124068.0,0.0,0.2154,0.0806,-0.0044,-0.0591,0.5728,-0.0128,1.04
4775,6199,0.6851,0.0955,0.2201,0.4365,0.4809,-0.0149,11.1,172.17,0.78,126316.0,0.0,0.2156,0.0812,-0.0047,-0.0555,0.5561,-0.0134,1.04
4776,6199,0.6816,0.0983,0.2208,0.4423,0.4847,-0.0125,11.75,172.08,0.78,125878.0,0.0,0.2199,0.0802,-0.005,-0.0595,0.4736,-0.014,1.05
4777,6199,0.6771,0.0995,0.2241,0.4294,0.4822,-0.015,10.84,154.29,0.78,125853.0,0.0,0.2118,0.0776,-0.0049,-0.0584,0.4551,-0.0119,1.05
4778,6199,0.6766,0.1031,0.2208,0.4227,0.5025,-0.0129,12.16,163.02,0.78,125864.0,0.0,0.2096,0.0774,-0.0042,-0.058,0.5812,-0.0137,1.05
